patho_niv1;libelle_comorbidite;annee;ntop;ncomorb;proportion_comorb;niveau_prioritaire
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2015;84490;35080;0.415;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2021;161670;67050;0.415;2
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2017;449950;186550;0.415;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2018;453590;187390;0.413;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2017;191160;78810;0.412;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2016;439240;181050;0.412;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2016;186850;76930;0.412;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2019;459940;189130;0.411;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2016;2937940;1208000;0.411;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2020;99790;40910;0.41;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2015;184340;75240;0.408;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2017;2935340;1197920;0.408;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2020;175870;71500;0.407;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2018;193600;78580;0.406;3
Insuffisance rénale chronique terminale;Diabète;2016;50460;20450;0.405;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2015;421130;170560;0.405;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2019;196620;79620;0.405;3
Cancers;Maladies respiratoires chroniques (hors mucoviscidose);2021;102780;41500;0.404;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2021;183200;73840;0.403;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2020;3008770;1212280;0.403;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2018;2939230;1179190;0.401;3
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2021;3173030;1272310;0.401;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2021;462650;185480;0.401;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2020;455400;181590;0.399;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2021;3201260;1272310;0.397;3
Insuffisance rénale chronique terminale;Diabète;2015;48960;19310;0.394;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2019;2936040;1155690;0.394;3
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2020;3144390;1212280;0.386;3
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2019;3012290;1155690;0.384;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2021;1181660;453230;0.384;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2020;1199960;457480;0.381;3
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2018;3103880;1179190;0.38;3
Insuffisance rénale chronique terminale;Diabète;2021;100970;38230;0.379;1
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2017;3185890;1197920;0.376;3
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2016;3235010;1208000;0.373;3
Insuffisance rénale chronique terminale;Diabète;2020;99760;37150;0.372;1
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2015;3288090;1223600;0.372;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2017;1450720;538800;0.371;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2019;1217820;449230;0.369;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2018;1318510;484430;0.367;3
Insuffisance rénale chronique terminale;Diabète;2019;98180;35850;0.365;1
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2015;1670440;608870;0.364;3
Maladies psychiatriques;Troubles névrotiques et de l'humeur;2021;390740;142290;0.364;3
Maladies psychiatriques;Troubles névrotiques et de l'humeur;2020;404760;147200;0.364;3
Traitements psychotropes (hors pathologies);Traitements anxiolytiques (hors pathologies);2016;1624930;588460;0.362;3
Maladies psychiatriques;Troubles névrotiques et de l'humeur;2016;458960;165770;0.361;3
Maladies psychiatriques;Troubles névrotiques et de l'humeur;2019;431960;155850;0.361;3
Maladies psychiatriques;Troubles névrotiques et de l'humeur;2015;464980;167660;0.361;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2017;121680;43880;0.361;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2015;117650;42290;0.359;3
Maladies psychiatriques;Troubles névrotiques et de l'humeur;2018;442690;159110;0.359;3
Maladies psychiatriques;Troubles névrotiques et de l'humeur;2017;453090;162510;0.359;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2016;121020;43360;0.358;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2018;123800;44320;0.358;3
Insuffisance rénale chronique terminale;Diabète;2018;95740;34200;0.357;1
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2019;123870;44250;0.357;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2018;100380;35850;0.357;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2019;102740;36650;0.357;3
Maladies cardio-neurovasculaires;Diabète;2021;183200;65120;0.355;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2020;98920;34840;0.352;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2017;98290;34600;0.352;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2020;120440;42240;0.351;3
Insuffisance rénale chronique terminale;Diabète;2017;93260;32690;0.351;1
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2021;102360;35780;0.35;3
Maladies cardio-neurovasculaires;Traitements antihypertenseurs (hors pathologies);2020;391210;135370;0.346;3
Maladies cardio-neurovasculaires;Traitements antihypertenseurs (hors pathologies);2019;382180;132060;0.346;3
Maladies cardio-neurovasculaires;Traitements antihypertenseurs (hors pathologies);2021;396930;137100;0.345;3
Maladies cardio-neurovasculaires;Traitements antihypertenseurs (hors pathologies);2015;342130;118100;0.345;3
Maladies cardio-neurovasculaires;Traitements antihypertenseurs (hors pathologies);2016;357000;123020;0.345;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2016;95860;33030;0.345;3
Maladies cardio-neurovasculaires;Traitements antihypertenseurs (hors pathologies);2018;377450;129480;0.343;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2015;100010;34210;0.342;3
Maladies cardio-neurovasculaires;Troubles du rythme ou de la conduction cardiaque;2021;121940;41650;0.342;3
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2021;1181660;403440;0.341;3
Insuffisance rénale chronique terminale;Diabète;2016;89980;30660;0.341;1
Maladies cardio-neurovasculaires;Traitements antihypertenseurs (hors pathologies);2017;373600;126970;0.34;3
Maladies cardio-neurovasculaires;Diabète;2020;175870;59220;0.337;3
Maladies cardio-neurovasculaires;Maladies respiratoires chroniques (hors mucoviscidose);2016;186850;62490;0.334;3
Insuffisance rénale chronique terminale;Diabète;2019;3490;1170;0.334;3
Maladies cardio-neurovasculaires;Maladies respiratoires chroniques (hors mucoviscidose);2017;191160;63670;0.333;3
Insuffisance rénale chronique terminale;Diabète;2015;86980;28930;0.333;1
Maladies cardio-neurovasculaires;Maladies respiratoires chroniques (hors mucoviscidose);2015;184340;61280;0.332;3
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2020;1199960;395960;0.33;3
Maladies cardio-neurovasculaires;Diabète;2019;196620;64300;0.327;3
Maladies cardio-neurovasculaires;Maladies respiratoires chroniques (hors mucoviscidose);2018;193600;63060;0.326;3
Maladies cardio-neurovasculaires;Maladies respiratoires chroniques (hors mucoviscidose);2019;196620;63950;0.325;3
Maladies cardio-neurovasculaires;Diabète;2018;193600;62510;0.323;3
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2019;1217820;392670;0.322;3
Maladies cardio-neurovasculaires;Diabète;2017;191160;61240;0.32;3
Insuffisance rénale chronique terminale;Diabète;2021;3070;980;0.32;3
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2018;1318510;421860;0.32;3
Maladies cardio-neurovasculaires;Diabète;2016;186850;59680;0.319;3
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2017;1450720;460880;0.318;3
Insuffisance rénale chronique terminale;Diabète;2017;3600;1140;0.317;3
Maladies cardio-neurovasculaires;Diabète;2015;184340;58050;0.315;3
Insuffisance rénale chronique terminale;Diabète;2018;3340;1050;0.314;3
Traitements psychotropes (hors pathologies);Traitements antihypertenseurs (hors pathologies);2015;1670440;524730;0.314;3
Maladies cardio-neurovasculaires;Maladies respiratoires chroniques (hors mucoviscidose);2020;175870;55230;0.314;3
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2015;1670440;523210;0.313;3
Traitements psychotropes (hors pathologies);Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies);2016;1624930;508950;0.313;3
Traitements psychotropes (hors pathologies);Traitements antihypertenseurs (hors pathologies);2016;1624930;505410;0.311;3
Maladies cardio-neurovasculaires;Maladies respiratoires chroniques (hors mucoviscidose);2021;183200;56520;0.308;3
Cancers;Traitements antihypertenseurs (hors pathologies);2015;300150;92570;0.308;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2019;854720;263400;0.308;2
Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);2015;7384560;2275600;0.308;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2021;833500;256810;0.308;2
Traitements psychotropes (hors pathologies);Traitements antihypertenseurs (hors pathologies);2017;1450720;445890;0.307;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2020;837460;257330;0.307;2
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2018;854060;262270;0.307;2
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2017;848240;260480;0.307;2
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2016;828580;252870;0.305;2
Insuffisance rénale chronique terminale;Diabète;2020;2530;770;0.304;3
Cancers;Traitements antihypertenseurs (hors pathologies);2015;504770;153530;0.304;2
Cancers;Traitements antihypertenseurs (hors pathologies);2016;291840;88750;0.304;3
Traitements psychotropes (hors pathologies);Traitements antihypertenseurs (hors pathologies);2018;1318510;400220;0.304;3
Insuffisance rénale chronique terminale;Maladie coronaire chronique;2019;54600;16540;0.303;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2015;808730;244950;0.303;2
Insuffisance rénale chronique terminale;Maladie coronaire chronique;2017;52030;15730;0.302;3
Maladies cardio-neurovasculaires;Maladie valvulaire;2021;183200;55360;0.302;3
Maladies cardio-neurovasculaires;Maladie valvulaire;2016;186850;56450;0.302;3
Maladies psychiatriques;Troubles névrotiques et de l'humeur;2015;409650;123500;0.301;3
Traitements psychotropes (hors pathologies);Traitements antihypertenseurs (hors pathologies);2015;3288090;990980;0.301;3
Insuffisance rénale chronique terminale;Maladie coronaire chronique;2018;53400;16090;0.301;3
Traitements psychotropes (hors pathologies);Traitements antihypertenseurs (hors pathologies);2019;1217820;366760;0.301;3
Insuffisance rénale chronique terminale;Maladie coronaire chronique;2020;56130;16900;0.301;3
Cancers;Traitements antihypertenseurs (hors pathologies);2017;297650;89590;0.301;3
Maladies cardio-neurovasculaires;Maladie valvulaire;2020;175870;52790;0.3;3
Cancers;Traitements antihypertenseurs (hors pathologies);2016;503750;151030;0.3;2
Maladies cardio-neurovasculaires;Diabète;2021;833500;249830;0.3;2
Maladies cardio-neurovasculaires;Maladie valvulaire;2017;191160;57280;0.3;3
Insuffisance rénale chronique terminale;Maladie coronaire chronique;2021;56880;17000;0.299;3
Cancers;Traitements antihypertenseurs (hors pathologies);2018;309330;92370;0.299;3
Maladies cardio-neurovasculaires;Diabète;2021;708630;211420;0.298;3
Cancers;Traitements antihypertenseurs (hors pathologies);2015;204630;60960;0.298;3
Traitements psychotropes (hors pathologies);Traitements antihypertenseurs (hors pathologies);2016;3235010;963260;0.298;3
Cancers;Traitements antihypertenseurs (hors pathologies);2019;321890;95760;0.297;3
Cancers;Traitements antihypertenseurs (hors pathologies);2020;333570;99200;0.297;3
Traitements psychotropes (hors pathologies);Traitements antihypertenseurs (hors pathologies);2020;1199960;356840;0.297;3
Insuffisance rénale chronique terminale;Maladie coronaire chronique;2016;50460;15000;0.297;3
Cancers;Traitements antihypertenseurs (hors pathologies);2015;474840;141020;0.297;3
Cancers;Traitements antihypertenseurs (hors pathologies);2017;514790;152790;0.297;2
Maladies psychiatriques;Troubles névrotiques et de l'humeur;2016;426740;126650;0.297;3
Cancers;Traitements antihypertenseurs (hors pathologies);2021;333180;98650;0.296;3
Maladies cardio-neurovasculaires;Maladie valvulaire;2019;196620;58130;0.296;3
Maladies cardio-neurovasculaires;Diabète;2019;711030;210120;0.296;3
Insuffisance rénale chronique terminale;Diabète;2021;41030;12120;0.295;3
Maladies cardio-neurovasculaires;Maladie valvulaire;2018;193600;57110;0.295;3
Cancers;Traitements antihypertenseurs (hors pathologies);2015;205260;60480;0.295;3
Maladies cardio-neurovasculaires;Diabète;2020;705340;207770;0.295;3
Cancers;Traitements antihypertenseurs (hors pathologies);2018;530280;156110;0.294;2
Cancers;Traitements antihypertenseurs (hors pathologies);2016;469880;138240;0.294;3
Maladies cardio-neurovasculaires;Maladie valvulaire;2015;184340;54200;0.294;3
Traitements psychotropes (hors pathologies);Traitements antihypertenseurs (hors pathologies);2017;3185890;936270;0.294;3
Cancers;Traitements antihypertenseurs (hors pathologies);2016;211910;62270;0.294;3
Cancers;Traitements antihypertenseurs (hors pathologies);2019;541310;158930;0.294;2
Cancers;Traitements antihypertenseurs (hors pathologies);2020;543960;159590;0.293;2
Maladies cardio-neurovasculaires;Diabète;2018;708660;207870;0.293;3
Traitements psychotropes (hors pathologies);Traitements antihypertenseurs (hors pathologies);2021;1181660;346600;0.293;3
Maladies cardio-neurovasculaires;Diabète;2021;2050320;600960;0.293;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2019;711030;208330;0.293;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2018;708660;207320;0.293;3
Maladies cardio-neurovasculaires;Diabète;2021;2152680;629280;0.292;2
Cancers;Traitements antihypertenseurs (hors pathologies);2021;549580;160620;0.292;2
Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);2016;7386540;2157660;0.292;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2017;712020;207850;0.292;3
Maladies cardio-neurovasculaires;Diabète;2017;712020;207700;0.292;3
Insuffisance rénale chronique terminale;Diabète;2015;3290;960;0.291;3
Cancers;Traitements antihypertenseurs (hors pathologies);2017;217140;63200;0.291;3
Cancers;Traitements antihypertenseurs (hors pathologies);2017;481020;139870;0.291;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2020;705340;205000;0.291;3
Traitements psychotropes (hors pathologies);Traitements antihypertenseurs (hors pathologies);2018;3103880;900870;0.29;3
Cancers;Traitements antihypertenseurs (hors pathologies);2016;203110;58900;0.29;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2016;705120;204040;0.289;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2021;708630;204920;0.289;3
Maladies cardio-neurovasculaires;Diabète;2016;705120;203530;0.289;3
Insuffisance rénale chronique terminale;Maladie coronaire chronique;2015;48960;14130;0.289;3
Cancers;Traitements antihypertenseurs (hors pathologies);2018;220950;63740;0.288;3
Maladies cardio-neurovasculaires;Diabète;2020;837460;241580;0.288;2
Maladies cardio-neurovasculaires;Diabète;2020;2007040;578830;0.288;3
Cancers;Traitements antihypertenseurs (hors pathologies);2019;219410;63180;0.288;3
Cancers;Traitements antihypertenseurs (hors pathologies);2018;495450;142600;0.288;3
Traitements psychotropes (hors pathologies);Traitements antihypertenseurs (hors pathologies);2019;3012290;866190;0.288;3
Insuffisance rénale chronique terminale;Diabète;2020;41100;11810;0.287;3
Maladies cardio-neurovasculaires;Diabète;2020;2105960;605120;0.287;2
Cancers;Traitements antihypertenseurs (hors pathologies);2020;210400;60390;0.287;3
Cancers;Traitements antihypertenseurs (hors pathologies);2021;503580;144470;0.287;3
Cancers;Traitements antihypertenseurs (hors pathologies);2020;506970;145420;0.287;3
Maladies cardio-neurovasculaires;Diabète;2019;1972020;565410;0.287;3
Cancers;Traitements antihypertenseurs (hors pathologies);2019;504200;144500;0.287;3
Cancers;Traitements antihypertenseurs (hors pathologies);2017;205230;58800;0.287;3
Cancers;Traitements antihypertenseurs (hors pathologies);2021;216400;61970;0.286;3
Maladies cardio-neurovasculaires;Diabète;2019;2074760;592800;0.286;2
Traitements psychotropes (hors pathologies);Traitements antihypertenseurs (hors pathologies);2015;5932850;1695110;0.286;1
Traitements psychotropes (hors pathologies);Traitements antihypertenseurs (hors pathologies);2020;3144390;897110;0.285;3
Cancers;Traitements antihypertenseurs (hors pathologies);2015;685020;195390;0.285;2
Insuffisance rénale chronique terminale;Diabète;2016;3350;950;0.285;3
Maladies cardio-neurovasculaires;Diabète;2018;1926460;548040;0.284;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2015;692220;196690;0.284;3
Maladies cardio-neurovasculaires;Diabète;2021;650300;184710;0.284;3
Maladies cardio-neurovasculaires;Diabète;2015;692220;196500;0.284;3
Maladies cardio-neurovasculaires;Diabète;2019;854720;242370;0.284;2
Maladies cardio-neurovasculaires;Diabète;2018;2026840;574140;0.283;2
Maladies cardio-neurovasculaires;Diabète;2017;1886070;533600;0.283;3
Cancers;Traitements antihypertenseurs (hors pathologies);2018;217080;61410;0.283;3
Cancers;Traitements antihypertenseurs (hors pathologies);2016;684200;193430;0.283;2
Traitements psychotropes (hors pathologies);Traitements antihypertenseurs (hors pathologies);2016;5876740;1659710;0.282;1
Maladies cardio-neurovasculaires;Diabète;2017;1984360;559090;0.282;2
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2021;650300;182980;0.281;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2020;661590;185830;0.281;3
Traitements psychotropes (hors pathologies);Traitements antihypertenseurs (hors pathologies);2021;3173030;890640;0.281;3
Maladies cardio-neurovasculaires;Diabète;2016;1838740;515620;0.28;3
Cancers;Traitements antihypertenseurs (hors pathologies);2019;227420;63740;0.28;3
Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);2017;7337680;2052300;0.28;3
Cancers;Traitements antihypertenseurs (hors pathologies);2020;234620;65520;0.279;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2019;658110;183780;0.279;3
Maladies cardio-neurovasculaires;Diabète;2016;1934600;540160;0.279;2
Maladies cardio-neurovasculaires;Diabète;2018;854060;238410;0.279;2
Cancers;Traitements antihypertenseurs (hors pathologies);2017;700230;195160;0.279;2
Insuffisance rénale chronique terminale;Diabète;2019;40090;11160;0.278;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2018;660460;183690;0.278;3
Traitements psychotropes (hors pathologies);Traitements antihypertenseurs (hors pathologies);2017;5733000;1594090;0.278;1
Maladies cardio-neurovasculaires;Traitements antihypertenseurs (hors pathologies);2021;1817410;504860;0.278;3
Maladies cardio-neurovasculaires;Traitements antihypertenseurs (hors pathologies);2020;1781750;494800;0.278;3
Cancers;Traitements antihypertenseurs (hors pathologies);2015;339560;94270;0.278;2
Maladies cardio-neurovasculaires;Diabète;2017;848240;235100;0.277;2
Maladies cardio-neurovasculaires;Diabète;2015;1789180;495850;0.277;3
Cancers;Traitements antihypertenseurs (hors pathologies);2021;232480;64400;0.277;3
Maladies psychiatriques;Troubles névrotiques et de l'humeur;2017;479450;132690;0.277;3
Maladies cardio-neurovasculaires;Diabète;2021;102360;28320;0.277;3
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2017;657080;181670;0.276;3
Maladies cardio-neurovasculaires;Diabète;2015;1889180;521580;0.276;2
Maladies cardio-neurovasculaires;Diabète;2020;661590;182360;0.276;3
Cancers;Traitements antihypertenseurs (hors pathologies);2018;719310;198140;0.275;2
Cancers;Traitements antihypertenseurs (hors pathologies);2016;350470;96230;0.275;2
Maladies cardio-neurovasculaires;Maladie coronaire chronique;2016;641730;175940;0.274;3
